pais_codigo,pais_nombre,anio,crecimiento_pib_pct,pib_per_capita_usd,crecimiento_pib_pc_pct,inflacion_pct,desempleo_pct,exportaciones_pct_pib,importaciones_pct_pib,pib_usd,fecha_extraccion,region,es_colombia
PE,Peru,2011,6.3272,5861.3579,5.536,3.3693,3.477,,25.4855,171761737046.585,2026-03-04T15:35:21.731026,América Latina,False
PE,Peru,2012,6.1397,6519.3785,5.2551,3.6112,3.238,,25.1703,192650021648.583,2026-03-04T15:35:21.731026,América Latina,False
PE,Peru,2013,5.8525,6746.8003,4.9027,2.7679,3.575,,24.9788,201175543571.392,2026-03-04T15:35:21.731026,América Latina,False
PE,Peru,2014,2.3822,6667.1341,1.3694,3.4119,3.208,,24.2462,200786250582.943,2026-03-04T15:35:21.731026,América Latina,False
PE,Peru,2015,3.2522,6231.7115,2.0936,3.3981,3.272,,23.8754,189802976285.619,2026-03-04T15:35:21.731026,América Latina,False
PE,Peru,2016,3.9533,6217.036,2.5762,3.5572,3.741,,22.7885,191898104390.379,2026-03-04T15:35:21.731026,América Latina,False
PE,Peru,2017,2.5188,6736.1669,1.0194,2.9949,3.691,,22.7937,211007984080.911,2026-03-04T15:35:21.731026,América Latina,False
PE,Peru,2018,3.9694,6978.4912,2.1018,1.5092,3.492,,23.4393,222597009739.235,2026-03-04T15:35:21.731026,América Latina,False
PE,Peru,2019,2.2406,7037.008,0.5023,2.2521,3.379,,22.9044,228346006003.648,2026-03-04T15:35:21.731026,América Latina,False
PE,Peru,2020,-10.9333,6133.3255,-11.9891,2.0024,7.179,,21.2345,201409694755.934,2026-03-04T15:35:21.731026,América Latina,False
PE,Peru,2021,13.3626,6826.2026,12.2777,4.2717,5.097,,26.1914,226328766459.634,2026-03-04T15:35:21.731026,América Latina,False
PE,Peru,2022,2.809,7350.6303,1.8276,8.3337,4.291,,28.4651,246065570308.155,2026-03-04T15:35:21.731026,América Latina,False
PE,Peru,2023,-0.4032,7887.5419,-1.4926,6.4556,4.899,,23.6499,266958720837.988,2026-03-04T15:35:21.731026,América Latina,False
US,United States,2000,4.0776,36329.9561,2.9259,3.3769,3.992,10.6928,14.4102,10250947997000.0,2026-03-04T15:35:21.731026,Referencia,False
US,United States,2001,0.9555,37133.6231,-0.0387,2.8262,4.731,9.7034,13.2637,10581929774000.0,2026-03-04T15:35:21.731026,Referencia,False
US,United States,2002,1.7004,37997.7597,0.7612,1.586,5.783,9.1314,13.155,10929112955000.0,2026-03-04T15:35:21.731026,Referencia,False
US,United States,2003,2.7956,39490.275,1.9159,2.2701,5.989,9.0357,13.5917,11456442041000.0,2026-03-04T15:35:21.731026,Referencia,False
US,United States,2004,3.8478,41724.6316,2.8911,2.6772,5.529,9.6288,14.8193,12217193198000.0,2026-03-04T15:35:21.731026,Referencia,False
US,United States,2005,3.4835,44123.4071,2.5341,3.3927,5.084,9.9821,15.6565,13039199193000.0,2026-03-04T15:35:21.731026,Referencia,False
US,United States,2006,2.7845,46302.0009,1.7982,3.2259,4.623,10.6414,16.3339,13815586948000.0,2026-03-04T15:35:21.731026,Referencia,False
US,United States,2007,2.0039,48050.2238,1.0383,2.8527,4.622,11.4638,16.5482,14474226905000.0,2026-03-04T15:35:21.731026,Referencia,False
US,United States,2008,0.1136,48570.046,-0.8289,3.8391,5.784,12.4258,17.4419,14769857911000.0,2026-03-04T15:35:21.731026,Referencia,False
US,United States,2009,-2.5765,47194.9434,-3.4268,-0.3555,9.254,10.9322,13.8273,14478064934000.0,2026-03-04T15:35:21.731026,Referencia,False
US,United States,2010,2.6952,48642.61,1.8299,1.64,9.633,12.3414,15.8785,15048964444000.0,2026-03-04T15:35:21.731026,Referencia,False
US,United States,2011,1.5644,50024.8688,0.7628,3.1568,8.949,13.5635,17.279,15599728123000.0,2026-03-04T15:35:21.731026,Referencia,False
US,United States,2012,2.2891,51708.4012,1.4757,2.0693,8.069,13.644,17.0378,16253972230000.0,2026-03-04T15:35:21.731026,Referencia,False
US,United States,2013,2.1178,53179.0128,1.3482,1.4648,7.375,13.5837,16.4243,16843190993000.0,2026-03-04T15:35:21.731026,Referencia,False
US,United States,2014,2.5238,54973.4208,1.7109,1.6222,6.168,13.5524,16.452,17550680174000.0,2026-03-04T15:35:21.731026,Referencia,False
US,United States,2015,2.9456,56572.9189,2.1274,0.1186,5.28,12.4718,15.3517,18206020741000.0,2026-03-04T15:35:21.731026,Referencia,False
US,United States,2016,1.8195,57638.1018,1.0227,1.2616,4.869,11.958,14.65,18695110842000.0,2026-03-04T15:35:21.731026,Referencia,False
US,United States,2017,2.4576,59635.0984,1.7501,2.1301,4.355,12.2617,15.0513,19477336549000.0,2026-03-04T15:35:21.731026,Referencia,False
US,United States,2018,2.9665,62499.8744,2.3644,2.4426,3.896,12.361,15.2494,20533057312000.0,2026-03-04T15:35:21.731026,Referencia,False
US,United States,2019,2.5838,64746.4507,2.0568,1.8122,3.669,11.8769,14.5769,21380976119000.0,2026-03-04T15:35:21.731026,Referencia,False
US,United States,2020,-2.163,63515.9492,-2.5618,1.2336,8.055,10.2141,13.1875,21060473613000.0,2026-03-04T15:35:21.731026,Referencia,False
US,United States,2021,6.0551,70205.0509,5.8883,4.6979,5.349,10.9604,14.6491,23315080560000.0,2026-03-04T15:35:21.731026,Referencia,False
US,United States,2022,2.5124,76657.2489,1.9239,8.0028,3.65,11.7844,15.5295,25604848907611.0,2026-03-04T15:35:21.731026,Referencia,False
US,United States,2023,2.8876,81032.2621,2.0356,4.1163,3.638,11.1844,14.1059,27292170793214.4,2026-03-04T15:35:21.731026,Referencia,False
