pais_codigo,pais_nombre,anio,pib_usd,crecimiento_pib_pct,pib_per_capita_usd,inflacion_pct,desempleo_pct,exportaciones_pct_pib,importaciones_pct_pib,fecha_extraccion,region,es_colombia
PE,Peru,2020,201409694755.934,-10.9333065010382,6133.32552410183,2.00241205759292,7.179,23.0114431429931,21.2345240547509,2026-03-05T21:35:13.377882,América Latina,False
PE,Peru,2021,226328766459.634,13.3626240903125,6826.20255614477,4.27166381536798,5.097,29.2358595939113,26.1913897716107,2026-03-05T21:35:13.377882,América Latina,False
PE,Peru,2022,246065570308.155,2.8090335533015,7350.63034300417,8.33370630096231,4.291,28.8318607701975,28.4651151947746,2026-03-05T21:35:13.377882,América Latina,False
PE,Peru,2023,266958720837.988,-0.403242151494268,7887.54185920108,6.45561348369586,4.899,27.1353058241207,23.6498783827457,2026-03-05T21:35:13.377882,América Latina,False
US,United States,2000,10250947997000.0,4.07758575682804,36329.9560727102,3.37685727149929,3.992,10.6927769053241,14.4102184542572,2026-03-05T21:35:13.377882,Referencia,False
US,United States,2001,10581929774000.0,0.955538348341605,37133.623113437,2.82617111885407,4.731,9.70344749898923,13.2637338366067,2026-03-05T21:35:13.377882,Referencia,False
US,United States,2002,10929112955000.0,1.70044732643726,37997.7596573051,1.58603162650601,5.783,9.131381513844,13.1549925956457,2026-03-05T21:35:13.377882,Referencia,False
US,United States,2003,11456442041000.0,2.79560596320081,39490.2749557007,2.27009497336115,5.989,9.03565868264667,13.5916543236323,2026-03-05T21:35:13.377882,Referencia,False
US,United States,2004,12217193198000.0,3.84777169556921,41724.6316287624,2.67723669309172,5.529,9.62875008142275,14.8193121829029,2026-03-05T21:35:13.377882,Referencia,False
US,United States,2005,13039199193000.0,3.48354993555606,44123.4070679055,3.3927468454955,5.084,9.98205473154167,15.65649830011,2026-03-05T21:35:13.377882,Referencia,False
US,United States,2006,13815586948000.0,2.78453963650701,46302.0008800056,3.22594410070404,4.623,10.641386468295,16.3338916290247,2026-03-05T21:35:13.377882,Referencia,False
US,United States,2007,14474226905000.0,2.00385829784946,48050.2237771135,2.85267248150138,4.622,11.4637901622698,16.5482275199969,2026-03-05T21:35:13.377882,Referencia,False
US,United States,2008,14769857911000.0,0.113587249881704,48570.0459804586,3.839100296651,5.784,12.4258473646734,17.4419484298585,2026-03-05T21:35:13.377882,Referencia,False
US,United States,2009,14478064934000.0,-2.57650022958367,47194.9433547336,-0.355546266299747,9.254,10.9322206193664,13.8273105496213,2026-03-05T21:35:13.377882,Referencia,False
US,United States,2010,15048964444000.0,2.69519257744442,48642.6100179312,1.6400434423899,9.633,12.3413608086534,15.8785344260197,2026-03-05T21:35:13.377882,Referencia,False
US,United States,2011,15599728123000.0,1.56440685763506,50024.868799398,3.156841568622,8.949,13.5634671535102,17.2790190876841,2026-03-05T21:35:13.377882,Referencia,False
US,United States,2012,16253972230000.0,2.28911338669843,51708.4011556577,2.06933726526067,8.069,13.6440493967794,17.0377859689502,2026-03-05T21:35:13.377882,Referencia,False
US,United States,2013,16843190993000.0,2.11783009790057,53179.0127634561,1.46483265562717,7.375,13.5836612014366,16.4242927670279,2026-03-05T21:35:13.377882,Referencia,False
US,United States,2014,17550680174000.0,2.52381981363968,54973.4207515712,1.62222297740817,6.168,13.5524377198989,16.4520404415866,2026-03-05T21:35:13.377882,Referencia,False
US,United States,2015,18206020741000.0,2.94555045484053,56572.9188996063,0.118627135552451,5.28,12.4718192531032,15.351745665684,2026-03-05T21:35:13.377882,Referencia,False
US,United States,2016,18695110842000.0,1.81945147788167,57638.1018367192,1.26158320570536,4.869,11.957982056879,14.6499800035794,2026-03-05T21:35:13.377882,Referencia,False
